1000, 40576, 1, 0, 0
2000, 42737, 1, 0, 0
3000, 42705, 1, 0, 0
4000, 42956, 1, 0, 0
5000, 43104, 1, 0, 0
6000, 43009, 1, 0, 0
7000, 42990, 1, 0, 0
8001, 42908, 1, 0, 0
9000, 41759, 1, 0, 0
10000, 41324, 1, 0, 0
11000, 41197, 1, 0, 0
12000, 42095, 1, 0, 0
13000, 40510, 1, 0, 0
14000, 39952, 1, 0, 0
15000, 40088, 1, 0, 0
16000, 40337, 1, 0, 0
17000, 40163, 1, 0, 0
18000, 39982, 1, 0, 0
19000, 40059, 1, 0, 0
20000, 40415, 1, 0, 0
21000, 40142, 1, 0, 0
22000, 40073, 1, 0, 0
23000, 28339, 1, 0, 0
24000, 10672, 1, 0, 0
25000, 10689, 1, 0, 0
26001, 10691, 1, 0, 0
27000, 10690, 1, 0, 0
28000, 10679, 1, 0, 0
29000, 10689, 1, 0, 0
30000, 10690, 1, 0, 0
31000, 10682, 1, 0, 0
32000, 10687, 1, 0, 0
33000, 10689, 1, 0, 0
34000, 10690, 1, 0, 0
35001, 10682, 1, 0, 0
36001, 10687, 1, 0, 0
37001, 10690, 1, 0, 0
38000, 10690, 1, 0, 0
39000, 10685, 1, 0, 0
40000, 10683, 1, 0, 0
41000, 10679, 1, 0, 0
42000, 10690, 1, 0, 0
43000, 10687, 1, 0, 0
44001, 10682, 1, 0, 0
45000, 10690, 1, 0, 0
46000, 10690, 1, 0, 0
47000, 10689, 1, 0, 0
48000, 10679, 1, 0, 0
49000, 10690, 1, 0, 0
50000, 10690, 1, 0, 0
51000, 10681, 1, 0, 0
52000, 10681, 1, 0, 0
53001, 10687, 1, 0, 0
54000, 10689, 1, 0, 0
55000, 10679, 1, 0, 0
56000, 10690, 1, 0, 0
57000, 10688, 1, 0, 0
58001, 10681, 1, 0, 0
59000, 10690, 1, 0, 0
60000, 10680, 1, 0, 0
61000, 10689, 1, 0, 0
62000, 10680, 1, 0, 0
63000, 10689, 1, 0, 0
64001, 10683, 1, 0, 0
65000, 10687, 1, 0, 0
66000, 10689, 1, 0, 0
67000, 10681, 1, 0, 0
68000, 10687, 1, 0, 0
69001, 10690, 1, 0, 0
70000, 10680, 1, 0, 0
71000, 10689, 1, 0, 0
72000, 10690, 1, 0, 0
73000, 10682, 1, 0, 0
74001, 10687, 1, 0, 0
75000, 10679, 1, 0, 0
76000, 10674, 1, 0, 0
77000, 10690, 1, 0, 0
78000, 10689, 1, 0, 0
79000, 10680, 1, 0, 0
80000, 10690, 1, 0, 0
81000, 10687, 1, 0, 0
82000, 10681, 1, 0, 0
83001, 10691, 1, 0, 0
84000, 10685, 1, 0, 0
85000, 10683, 1, 0, 0
86000, 10684, 1, 0, 0
87000, 10686, 1, 0, 0
88000, 10684, 1, 0, 0
89001, 10685, 1, 0, 0
90000, 10688, 1, 0, 0
91000, 10681, 1, 0, 0
92001, 10685, 1, 0, 0
93000, 10684, 1, 0, 0
94000, 10688, 1, 0, 0
95000, 10682, 1, 0, 0
96000, 10685, 1, 0, 0
97000, 10683, 1, 0, 0
98000, 10691, 1, 0, 0
99000, 10679, 1, 0, 0
100000, 10689, 1, 0, 0
101001, 10682, 1, 0, 0
102000, 10688, 1, 0, 0
103000, 10679, 1, 0, 0
104000, 10690, 1, 0, 0
105000, 10681, 1, 0, 0
106000, 10688, 1, 0, 0
107000, 10679, 1, 0, 0
108000, 10690, 1, 0, 0
109001, 10680, 1, 0, 0
110000, 10689, 1, 0, 0
111000, 10681, 1, 0, 0
112000, 10689, 1, 0, 0
113000, 10679, 1, 0, 0
114000, 10681, 1, 0, 0
115000, 10677, 1, 0, 0
116000, 10674, 1, 0, 0
117000, 10678, 1, 0, 0
118000, 10690, 1, 0, 0
119000, 10689, 1, 0, 0
120001, 10687, 1, 0, 0
121000, 10684, 1, 0, 0
122000, 10688, 1, 0, 0
123000, 10680, 1, 0, 0
124000, 10690, 1, 0, 0
125000, 10679, 1, 0, 0
126000, 10690, 1, 0, 0
127000, 10679, 1, 0, 0
128000, 10690, 1, 0, 0
129000, 10682, 1, 0, 0
130000, 10687, 1, 0, 0
131001, 10680, 1, 0, 0
132000, 10681, 1, 0, 0
133000, 10687, 1, 0, 0
134000, 10690, 1, 0, 0
135000, 10690, 1, 0, 0
136000, 10690, 1, 0, 0
137000, 10685, 1, 0, 0
138001, 10684, 1, 0, 0
139001, 10690, 1, 0, 0
140000, 10689, 1, 0, 0
141000, 10690, 1, 0, 0
142000, 10683, 1, 0, 0
143000, 10686, 1, 0, 0
144000, 10689, 1, 0, 0
145000, 10680, 1, 0, 0
146000, 10679, 1, 0, 0
147000, 10677, 1, 0, 0
148000, 10687, 1, 0, 0
149000, 10685, 1, 0, 0
150000, 10690, 1, 0, 0
151000, 10689, 1, 0, 0
152000, 10687, 1, 0, 0
153000, 10684, 1, 0, 0
154000, 10678, 1, 0, 0
155000, 10680, 1, 0, 0
156000, 10689, 1, 0, 0
157000, 10690, 1, 0, 0
158000, 10685, 1, 0, 0
159000, 10678, 1, 0, 0
160000, 10685, 1, 0, 0
161000, 10690, 1, 0, 0
162001, 10690, 1, 0, 0
